,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164,165,166,167,168,169,170,171,172,173,174,175,176,177,178,179,180,181,182,183,184,185,186,187,188,189,190,191,192,193,194,195,196,197,198,199,200,201,202,203,204,205,206,207,208,209,210,211,212,213
0,0.0,1972.4,1421.2,1972.4,3435.5,2543.4,1563.4,2147.0,4223.3,3281.6,1490.6,1971.0,3031.1,3890.9,4205.1,3757.6,2899.2,2664.9,1490.6,3330.1,3628.6,4307.5,2689.3,2063.7,4400.3,2170.1,3022.4,2822.2,4064.4,4561.2,3179.2,3256.7,3022.4,1736.1,3333.1,2431.0,3333.1,2431.0,3333.1,1398.6,2361.4,3678.2,2213.7,2385.6,3333.1,2431.0,2046.0,3214.8,4002.7,8608.2,6709.5,9077.3,9088.2,8901.4,9439.3,13756.1,10524.8,9694.3,9713.3,11709.4,9077.3,9824.1,9170.7,9514.2,8930.4,9631.4,9910.6,8624.4,9516.2,9609.3,5942.4,10095.8,9694.3,10101.6,8757.7,9824.1,9799.9,10578.1,10379.8,9824.1,9824.1,9188.3,10209.7,9559.0,9783.0,11025.0,9694.3,10144.4,9777.0,10048.9,9077.3,9602.8,9817.1,9694.3,8752.2,10179.4,9799.9,8824.9,14378.6,9735.0,1972.4,1421.2,1972.4,3435.5,2543.4,1563.4,2147.0,4223.3,3281.6,1490.6,1971.0,3031.1,3890.9,4205.1,3757.6,2899.2,2664.9,1490.6,3330.1,3628.6,4307.5,2689.3,2063.7,4400.3,2170.1,3022.4,2822.2,4064.4,4561.2,3179.2,3256.7,3022.4,1736.1,3333.1,2431.0,3333.1,2431.0,3333.1,1398.6,2361.4,3678.2,2213.7,2385.6,3333.1,2431.0,2046.0,3214.8,4002.7,8608.2,6709.5,9077.3,9088.2,8901.4,9439.3,13756.1,10524.8,9694.3,9713.3,11709.4,9077.3,9824.1,9170.7,9514.2,8930.4,9631.4,9910.6,8624.4,9516.2,9609.3,5942.4,10095.8,9694.3,10101.6,8757.7,9824.1,9799.9,10578.1,10379.8,9824.1,9824.1,9188.3,10209.7,9559.0,9783.0,11025.0,9694.3,10144.4,9777.0,10048.9,9077.3,9602.8,9817.1,9694.3,8752.2,10179.4,9799.9,8824.9,14378.6,9735.0,10467.4,1421.2,1972.4,3435.5,2543.4,1563.4,2147.0,4223.3,3281.6,1490.6,1971.0,3031.1,3890.9,4205.1,3757.6
1,2106.9,0.0,780.5,0.0,1423.4,531.4,922.7,174.7,2692.0,1744.2,849.9,1671.8,1019.0,1878.9,2193.0,1745.6,926.8,692.5,849.9,1318.0,2097.3,2295.4,2048.7,293.7,2868.9,429.5,726.8,2181.5,1711.1,2549.1,3183.7,2379.1,726.8,1118.1,2692.4,458.6,2692.4,458.6,2692.4,758.0,389.1,2146.9,1573.1,413.3,2692.4,458.6,73.6,1202.8,2471.4,6596.2,5827.0,8404.5,8415.4,8228.6,8766.5,13083.3,9851.9,9021.5,9040.5,11036.5,8404.5,9151.3,8497.8,8841.3,8257.5,8958.5,9237.8,7951.6,8843.3,8936.5,3930.4,9423.0,9021.5,9428.7,8084.8,9151.3,9127.1,9905.3,9706.9,9151.3,9151.3,8515.4,9536.8,8886.1,9110.1,10352.1,9021.5,9471.5,9104.2,9376.0,8404.5,8929.9,9144.2,9021.5,8079.3,9506.6,9127.1,8152.1,13738.0,10071.5,0.0,780.5,0.0,1423.4,531.4,922.7,174.7,2692.0,1744.2,849.9,1671.8,1019.0,1878.9,2193.0,1745.6,926.8,692.5,849.9,1318.0,2097.3,2295.4,2048.7,293.7,2868.9,429.5,726.8,2181.5,1711.1,2549.1,3183.7,2379.1,726.8,1118.1,2692.4,458.6,2692.4,458.6,2692.4,758.0,389.1,2146.9,1573.1,413.3,2692.4,458.6,73.6,1202.8,2471.4,6596.2,5827.0,8404.5,8415.4,8228.6,8766.5,13083.3,9851.9,9021.5,9040.5,11036.5,8404.5,9151.3,8497.8,8841.3,8257.5,8958.5,9237.8,7951.6,8843.3,8936.5,3930.4,9423.0,9021.5,9428.7,8084.8,9151.3,9127.1,9905.3,9706.9,9151.3,9151.3,8515.4,9536.8,8886.1,9110.1,10352.1,9021.5,9471.5,9104.2,9376.0,8404.5,8929.9,9144.2,9021.5,8079.3,9506.6,9127.1,8152.1,13738.0,10071.5,9826.7,780.5,0.0,1423.4,531.4,922.7,174.7,2692.0,1744.2,849.9,1671.8,1019.0,1878.9,2193.0,1745.6
2,1722.9,925.5,0.0,925.5,1914.7,1022.6,516.5,1100.2,3415.1,2234.7,443.7,891.2,1510.3,2095.1,2684.3,2236.9,1852.3,1618.0,443.7,1809.3,2820.4,2786.7,1642.5,1016.8,3592.0,1123.2,1219.7,1775.3,2636.6,3040.4,3906.8,3102.2,1219.7,337.5,2404.7,1384.1,2404.7,1384.1,2404.7,374.0,1314.6,2870.0,792.5,1338.7,2404.7,1384.1,999.1,1694.1,3194.5,8052.9,5046.4,7656.1,7667.0,7480.2,8018.1,12334.9,9103.6,8273.1,8292.1,10288.1,7656.1,8402.9,7749.5,8093.0,7509.2,8210.2,8489.4,7203.2,8095.0,8188.1,4421.7,8674.6,8273.1,8680.4,7336.5,8402.9,8378.7,9156.9,8958.6,8402.9,8402.9,7767.1,8788.5,8137.8,8361.8,9603.8,8273.1,8723.2,8355.8,8627.7,7656.1,8181.6,8395.8,8273.1,7331.0,8758.2,8378.7,7403.7,12957.4,9302.2,925.5,0.0,925.5,1914.7,1022.6,516.5,1100.2,3415.1,2234.7,443.7,891.2,1510.3,2095.1,2684.3,2236.9,1852.3,1618.0,443.7,1809.3,2820.4,2786.7,1642.5,1016.8,3592.0,1123.2,1219.7,1775.3,2636.6,3040.4,3906.8,3102.2,1219.7,337.5,2404.7,1384.1,2404.7,1384.1,2404.7,374.0,1314.6,2870.0,792.5,1338.7,2404.7,1384.1,999.1,1694.1,3194.5,8052.9,5046.4,7656.1,7667.0,7480.2,8018.1,12334.9,9103.6,8273.1,8292.1,10288.1,7656.1,8402.9,7749.5,8093.0,7509.2,8210.2,8489.4,7203.2,8095.0,8188.1,4421.7,8674.6,8273.1,8680.4,7336.5,8402.9,8378.7,9156.9,8958.6,8402.9,8402.9,7767.1,8788.5,8137.8,8361.8,9603.8,8273.1,8723.2,8355.8,8627.7,7656.1,8181.6,8395.8,8273.1,7331.0,8758.2,8378.7,7403.7,12957.4,9302.2,9057.5,0.0,925.5,1914.7,1022.6,516.5,1100.2,3415.1,2234.7,443.7,891.2,1510.3,2095.1,2684.3,2236.9
3,2106.9,0.0,780.5,0.0,1423.4,531.4,922.7,174.7,2692.0,1744.2,849.9,1671.8,1019.0,1878.9,2193.0,1745.6,926.8,692.5,849.9,1318.0,2097.3,2295.4,2048.7,293.7,2868.9,429.5,726.8,2181.5,1711.1,2549.1,3183.7,2379.1,726.8,1118.1,2692.4,458.6,2692.4,458.6,2692.4,758.0,389.1,2146.9,1573.1,413.3,2692.4,458.6,73.6,1202.8,2471.4,6596.2,5827.0,8404.5,8415.4,8228.6,8766.5,13083.3,9851.9,9021.5,9040.5,11036.5,8404.5,9151.3,8497.8,8841.3,8257.5,8958.5,9237.8,7951.6,8843.3,8936.5,3930.4,9423.0,9021.5,9428.7,8084.8,9151.3,9127.1,9905.3,9706.9,9151.3,9151.3,8515.4,9536.8,8886.1,9110.1,10352.1,9021.5,9471.5,9104.2,9376.0,8404.5,8929.9,9144.2,9021.5,8079.3,9506.6,9127.1,8152.1,13738.0,10071.5,0.0,780.5,0.0,1423.4,531.4,922.7,174.7,2692.0,1744.2,849.9,1671.8,1019.0,1878.9,2193.0,1745.6,926.8,692.5,849.9,1318.0,2097.3,2295.4,2048.7,293.7,2868.9,429.5,726.8,2181.5,1711.1,2549.1,3183.7,2379.1,726.8,1118.1,2692.4,458.6,2692.4,458.6,2692.4,758.0,389.1,2146.9,1573.1,413.3,2692.4,458.6,73.6,1202.8,2471.4,6596.2,5827.0,8404.5,8415.4,8228.6,8766.5,13083.3,9851.9,9021.5,9040.5,11036.5,8404.5,9151.3,8497.8,8841.3,8257.5,8958.5,9237.8,7951.6,8843.3,8936.5,3930.4,9423.0,9021.5,9428.7,8084.8,9151.3,9127.1,9905.3,9706.9,9151.3,9151.3,8515.4,9536.8,8886.1,9110.1,10352.1,9021.5,9471.5,9104.2,9376.0,8404.5,8929.9,9144.2,9021.5,8079.3,9506.6,9127.1,8152.1,13738.0,10071.5,9826.7,780.5,0.0,1423.4,531.4,922.7,174.7,2692.0,1744.2,849.9,1671.8,1019.0,1878.9,2193.0,1745.6
4,3077.7,2280.3,1751.4,2280.3,0.0,1961.3,1871.3,2455.0,4906.0,1017.0,1798.5,2617.3,1583.0,347.9,812.7,365.3,3207.1,2972.8,1798.5,1858.1,4175.2,915.1,957.2,2371.6,5466.6,2343.8,1934.5,799.0,4078.2,1168.9,5261.7,4457.0,1934.5,1630.2,1552.6,2738.9,1552.6,2738.9,1552.6,1728.8,2669.4,4224.8,2481.5,2197.1,1552.6,2738.9,2353.9,1332.0,4549.3,5215.9,5373.0,7024.2,7035.1,6848.3,7386.2,11703.0,8471.6,7641.2,7660.2,9656.2,7024.2,7771.0,7117.6,7461.1,6877.3,7578.2,7857.5,6571.3,7463.0,7556.2,2550.1,8042.7,7641.2,8048.5,6704.6,7771.0,7746.8,8525.0,8326.6,7771.0,7771.0,7135.2,8156.5,7505.8,7729.8,8971.9,7641.2,8091.3,7723.9,7995.7,7024.2,7549.6,7763.9,7641.2,6699.1,8126.3,7746.8,6771.8,12336.0,8679.8,2280.3,1751.4,2280.3,0.0,1961.3,1871.3,2455.0,4906.0,1017.0,1798.5,2617.3,1583.0,347.9,812.7,365.3,3207.1,2972.8,1798.5,1858.1,4175.2,915.1,957.2,2371.6,5466.6,2343.8,1934.5,799.0,4078.2,1168.9,5261.7,4457.0,1934.5,1630.2,1552.6,2738.9,1552.6,2738.9,1552.6,1728.8,2669.4,4224.8,2481.5,2197.1,1552.6,2738.9,2353.9,1332.0,4549.3,5215.9,5373.0,7024.2,7035.1,6848.3,7386.2,11703.0,8471.6,7641.2,7660.2,9656.2,7024.2,7771.0,7117.6,7461.1,6877.3,7578.2,7857.5,6571.3,7463.0,7556.2,2550.1,8042.7,7641.2,8048.5,6704.6,7771.0,7746.8,8525.0,8326.6,7771.0,7771.0,7135.2,8156.5,7505.8,7729.8,8971.9,7641.2,8091.3,7723.9,7995.7,7024.2,7549.6,7763.9,7641.2,6699.1,8126.3,7746.8,6771.8,12336.0,8679.8,8435.0,1751.4,2280.3,0.0,1961.3,1871.3,2455.0,4906.0,1017.0,1798.5,2617.3,1583.0,347.9,812.7,365.3
5,2616.4,853.3,1262.2,853.3,892.1,0.0,765.5,1028.0,3342.9,1212.9,1337.1,2153.4,487.7,1347.5,1661.7,1214.2,1780.1,1545.8,1337.1,786.7,2748.2,1764.1,1486.0,944.6,3519.9,888.3,479.0,1647.9,2564.4,2017.8,3834.7,3030.0,479.0,1168.8,2401.6,1311.9,2401.6,1311.9,2401.6,1239.6,1242.4,2797.8,2054.7,741.5,2401.6,1311.9,926.9,671.4,3122.3,6064.8,6222.0,7873.1,7884.0,7697.2,8235.1,12551.9,9320.6,8490.1,8509.2,10505.2,7873.1,8619.9,7966.5,8310.0,7726.2,8427.2,8706.4,7420.2,8312.0,8405.1,3399.0,8891.6,8490.1,8897.4,7553.5,8619.9,8595.7,9373.9,9175.6,8619.9,8619.9,7984.1,9005.5,8354.8,8578.8,9820.8,8490.1,8940.2,8572.9,8844.7,7873.1,8398.6,8612.9,8490.1,7548.0,8975.2,8595.7,7620.7,13185.0,9528.7,853.3,1262.2,853.3,892.1,0.0,765.5,1028.0,3342.9,1212.9,1337.1,2153.4,487.7,1347.5,1661.7,1214.2,1780.1,1545.8,1337.1,786.7,2748.2,1764.1,1486.0,944.6,3519.9,888.3,479.0,1647.9,2564.4,2017.8,3834.7,3030.0,479.0,1168.8,2401.6,1311.9,2401.6,1311.9,2401.6,1239.6,1242.4,2797.8,2054.7,741.5,2401.6,1311.9,926.9,671.4,3122.3,6064.8,6222.0,7873.1,7884.0,7697.2,8235.1,12551.9,9320.6,8490.1,8509.2,10505.2,7873.1,8619.9,7966.5,8310.0,7726.2,8427.2,8706.4,7420.2,8312.0,8405.1,3399.0,8891.6,8490.1,8897.4,7553.5,8619.9,8595.7,9373.9,9175.6,8619.9,8619.9,7984.1,9005.5,8354.8,8578.8,9820.8,8490.1,8940.2,8572.9,8844.7,7873.1,8398.6,8612.9,8490.1,7548.0,8975.2,8595.7,7620.7,13185.0,9528.7,9284.0,1262.2,853.3,892.1,0.0,765.5,1028.0,3342.9,1212.9,1337.1,2153.4,487.7,1347.5,1661.7,1214.2
6,1752.5,455.5,426.1,455.5,1402.7,510.7,0.0,630.1,2945.0,1723.5,495.5,1317.4,998.3,1858.2,2172.3,1724.9,1382.3,1148.0,495.5,1297.3,2350.4,2274.7,1694.3,546.8,3122.0,653.2,749.7,1827.1,2166.6,2528.4,3436.8,2632.2,749.7,763.7,2338.0,914.1,2338.0,914.1,2338.0,403.6,844.5,2400.0,1218.6,868.7,2338.0,914.1,529.1,1182.1,2724.5,6575.5,5472.6,8383.8,8394.7,8207.9,8745.8,13062.6,9831.2,9000.8,9019.8,11015.8,8383.8,9130.6,8477.1,8820.6,8236.8,8937.8,9217.1,7930.9,8822.6,8915.8,3909.7,9402.3,9000.8,9408.0,8064.1,9130.6,9106.4,9884.6,9686.2,9130.6,9130.6,8494.7,9516.1,8865.4,9089.4,10331.5,9000.8,9450.8,9083.5,9355.3,8383.8,8909.2,9123.5,9000.8,8058.7,9485.9,9106.4,8131.4,13383.6,9717.1,455.5,426.1,455.5,1402.7,510.7,0.0,630.1,2945.0,1723.5,495.5,1317.4,998.3,1858.2,2172.3,1724.9,1382.3,1148.0,495.5,1297.3,2350.4,2274.7,1694.3,546.8,3122.0,653.2,749.7,1827.1,2166.6,2528.4,3436.8,2632.2,749.7,763.7,2338.0,914.1,2338.0,914.1,2338.0,403.6,844.5,2400.0,1218.6,868.7,2338.0,914.1,529.1,1182.1,2724.5,6575.5,5472.6,8383.8,8394.7,8207.9,8745.8,13062.6,9831.2,9000.8,9019.8,11015.8,8383.8,9130.6,8477.1,8820.6,8236.8,8937.8,9217.1,7930.9,8822.6,8915.8,3909.7,9402.3,9000.8,9408.0,8064.1,9130.6,9106.4,9884.6,9686.2,9130.6,9130.6,8494.7,9516.1,8865.4,9089.4,10331.5,9000.8,9450.8,9083.5,9355.3,8383.8,8909.2,9123.5,9000.8,8058.7,9485.9,9106.4,8131.4,13383.6,9717.1,9472.3,426.1,455.5,1402.7,510.7,0.0,630.1,2945.0,1723.5,495.5,1317.4,998.3,1858.2,2172.3,1724.9
7,2281.5,174.7,955.2,174.7,1598.1,706.0,1097.4,0.0,2555.9,1918.9,1024.6,1846.4,1193.7,2053.5,2367.7,1920.2,752.2,517.8,1024.6,1161.1,1961.2,2470.1,2223.4,468.4,2732.8,254.8,901.5,2356.2,1536.4,2723.8,3047.6,2243.0,901.5,1292.7,2867.1,284.0,2867.1,284.0,2867.1,932.6,214.4,2010.8,1747.7,238.6,2867.1,284.0,101.1,1377.4,2335.3,6770.8,6001.7,8579.2,8590.1,8403.2,8941.1,13257.9,10026.6,9196.1,9215.2,11211.2,8579.2,9326.0,8672.5,9016.0,8432.2,9133.2,9412.5,8126.3,9018.0,9111.1,4105.0,9597.6,9196.1,9603.4,8259.5,9326.0,9301.7,10080.0,9881.6,9326.0,9326.0,8690.1,9711.5,9060.8,9284.8,10526.8,9196.1,9646.2,9278.9,9550.7,8579.2,9104.6,9318.9,9196.1,8254.0,9681.2,9301.7,8326.7,13912.6,10246.1,174.7,955.2,174.7,1598.1,706.0,1097.4,0.0,2555.9,1918.9,1024.6,1846.4,1193.7,2053.5,2367.7,1920.2,752.2,517.8,1024.6,1161.1,1961.2,2470.1,2223.4,468.4,2732.8,254.8,901.5,2356.2,1536.4,2723.8,3047.6,2243.0,901.5,1292.7,2867.1,284.0,2867.1,284.0,2867.1,932.6,214.4,2010.8,1747.7,238.6,2867.1,284.0,101.1,1377.4,2335.3,6770.8,6001.7,8579.2,8590.1,8403.2,8941.1,13257.9,10026.6,9196.1,9215.2,11211.2,8579.2,9326.0,8672.5,9016.0,8432.2,9133.2,9412.5,8126.3,9018.0,9111.1,4105.0,9597.6,9196.1,9603.4,8259.5,9326.0,9301.7,10080.0,9881.6,9326.0,9326.0,8690.1,9711.5,9060.8,9284.8,10526.8,9196.1,9646.2,9278.9,9550.7,8579.2,9104.6,9318.9,9196.1,8254.0,9681.2,9301.7,8326.7,13912.6,10246.1,10001.4,955.2,174.7,1598.1,706.0,1097.4,0.0,2555.9,1918.9,1024.6,1846.4,1193.7,2053.5,2367.7,1920.2
8,4434.8,2707.8,3265.5,2707.8,4359.6,3467.5,3407.7,2882.5,0.0,2811.3,3334.9,4156.8,3955.2,4815.0,3745.4,4681.7,1713.1,1989.6,3334.9,4254.2,753.2,4209.5,4533.7,2559.7,1462.2,2785.8,3946.5,4355.4,1409.1,4101.5,2026.6,1222.0,3946.5,3603.1,4882.5,2223.5,4882.5,2223.5,4882.5,3243.0,2293.0,740.2,4058.1,2769.5,4882.5,2223.5,2781.4,4138.9,1064.7,5776.1,8702.9,9956.8,9967.7,9780.9,10318.8,14635.6,11404.3,10573.8,10592.9,12588.9,9956.8,10703.7,10050.2,10393.7,9809.9,10510.9,10790.2,9504.0,10395.7,10488.8,5482.7,10975.3,10573.8,10981.1,9637.2,10703.7,10679.4,11457.7,11259.3,10703.7,10703.7,10067.8,11089.2,10438.5,10662.5,11904.5,10573.8,11023.9,10656.6,10928.4,9956.8,10482.3,10696.6,10573.8,9631.7,11058.9,10679.4,9704.4,15881.1,12009.6,2707.8,3265.5,2707.8,4359.6,3467.5,3407.7,2882.5,0.0,2811.3,3334.9,4156.8,3955.2,4815.0,3745.4,4681.7,1713.1,1989.6,3334.9,4254.2,753.2,4209.5,4533.7,2559.7,1462.2,2785.8,3946.5,4355.4,1409.1,4101.5,2026.6,1222.0,3946.5,3603.1,4882.5,2223.5,4882.5,2223.5,4882.5,3243.0,2293.0,740.2,4058.1,2769.5,4882.5,2223.5,2781.4,4138.9,1064.7,5776.1,8702.9,9956.8,9967.7,9780.9,10318.8,14635.6,11404.3,10573.8,10592.9,12588.9,9956.8,10703.7,10050.2,10393.7,9809.9,10510.9,10790.2,9504.0,10395.7,10488.8,5482.7,10975.3,10573.8,10981.1,9637.2,10703.7,10679.4,11457.7,11259.3,10703.7,10703.7,10067.8,11089.2,10438.5,10662.5,11904.5,10573.8,11023.9,10656.6,10928.4,9956.8,10482.3,10696.6,10573.8,9631.7,11058.9,10679.4,9704.4,15881.1,12009.6,11764.9,3265.5,2707.8,4359.6,3467.5,3407.7,2882.5,0.0,2811.3,3334.9,4156.8,3955.2,4815.0,3745.4,4681.7
9,3510.6,2713.2,2184.3,2713.2,800.6,2394.2,2304.2,2887.9,2817.8,0.0,2231.4,3050.3,1047.7,1256.0,1570.2,1122.7,1637.4,1547.0,2231.4,709.8,3081.3,1267.6,1390.1,2804.5,3592.2,1494.3,1399.3,1522.9,2713.0,1926.3,4167.8,3363.1,1399.3,2063.1,2033.8,1375.9,2033.8,1375.9,2033.8,2161.7,1445.4,3130.9,2914.4,1298.8,2033.8,1375.9,2786.8,796.7,3455.4,5973.3,6106.2,7781.6,7792.5,7605.7,8143.6,12460.4,9229.1,8398.6,8417.7,10413.7,7781.6,8528.4,7875.0,8218.5,7634.7,8335.7,8614.9,7328.7,8220.5,8313.6,3307.5,8800.1,8398.6,8805.9,7462.0,8528.4,8504.2,9282.5,9084.1,8528.4,8528.4,7892.6,8914.0,8263.3,8487.3,9729.3,8398.6,8848.7,8481.4,8753.2,7781.6,8307.1,8521.4,8398.6,7456.5,8883.7,8504.2,7529.2,13108.3,9412.9,2713.2,2184.3,2713.2,800.6,2394.2,2304.2,2887.9,2817.8,0.0,2231.4,3050.3,1047.7,1256.0,1570.2,1122.7,1637.4,1547.0,2231.4,709.8,3081.3,1267.6,1390.1,2804.5,3592.2,1494.3,1399.3,1522.9,2713.0,1926.3,4167.8,3363.1,1399.3,2063.1,2033.8,1375.9,2033.8,1375.9,2033.8,2161.7,1445.4,3130.9,2914.4,1298.8,2033.8,1375.9,2786.8,796.7,3455.4,5973.3,6106.2,7781.6,7792.5,7605.7,8143.6,12460.4,9229.1,8398.6,8417.7,10413.7,7781.6,8528.4,7875.0,8218.5,7634.7,8335.7,8614.9,7328.7,8220.5,8313.6,3307.5,8800.1,8398.6,8805.9,7462.0,8528.4,8504.2,9282.5,9084.1,8528.4,8528.4,7892.6,8914.0,8263.3,8487.3,9729.3,8398.6,8848.7,8481.4,8753.2,7781.6,8307.1,8521.4,8398.6,7456.5,8883.7,8504.2,7529.2,13108.3,9412.9,9168.2,2184.3,2713.2,800.6,2394.2,2304.2,2887.9,2817.8,0.0,2231.4,3050.3,1047.7,1256.0,1570.2,1122.7
