,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164,165,166,167,168,169,170,171,172,173,174,175,176,177,178,179,180,181,182,183,184,185,186,187,188,189,190,191,192,193,194,195,196,197,198,199,200,201,202,203,204,205,206,207,208,209,210,211,212,213
0,0.0,155.3,112.5,155.3,195.2,152.4,129.1,171.1,374.4,254.7,117.2,164.4,183.6,244.0,245.9,204.0,252.6,217.7,117.2,248.0,274.7,257.6,210.1,174.4,318.0,202.6,191.7,217.9,320.3,269.1,274.3,252.8,191.7,158.9,298.4,196.7,298.4,196.7,298.4,111.1,190.4,275.5,177.4,210.7,298.4,196.7,161.9,227.7,292.0,746.1,499.7,747.2,741.0,717.0,765.4,1153.3,776.6,793.7,795.4,984.7,747.2,811.2,752.8,804.5,718.2,821.1,823.6,674.3,772.4,812.2,364.7,839.7,793.7,830.2,696.3,811.2,803.2,870.2,786.7,811.2,811.2,751.7,748.4,808.1,801.6,829.7,793.7,831.1,807.8,825.6,747.2,823.1,815.6,793.7,692.4,840.2,803.2,680.3,981.1,762.9,155.3,112.5,155.3,195.2,152.4,129.1,171.1,374.4,254.7,117.2,164.4,183.6,244.0,245.9,204.0,252.6,217.7,117.2,248.0,274.7,257.6,210.1,174.4,318.0,202.6,191.7,217.9,320.3,269.1,274.3,252.8,191.7,158.9,298.4,196.7,298.4,196.7,298.4,111.1,190.4,275.5,177.4,210.7,298.4,196.7,161.9,227.7,292.0,746.1,499.7,747.2,741.0,717.0,765.4,1153.3,776.6,793.7,795.4,984.7,747.2,811.2,752.8,804.5,718.2,821.1,823.6,674.3,772.4,812.2,364.7,839.7,793.7,830.2,696.3,811.2,803.2,870.2,786.7,811.2,811.2,751.7,748.4,808.1,801.6,829.7,793.7,831.1,807.8,825.6,747.2,823.1,815.6,793.7,692.4,840.2,803.2,680.3,981.1,762.9,802.8,112.5,155.3,195.2,152.4,129.1,171.1,374.4,254.7,117.2,164.4,183.6,244.0,245.9,204.0
1,169.5,0.0,61.9,0.0,95.9,53.1,86.5,15.8,258.3,169.2,74.6,135.4,84.3,144.7,146.6,104.7,97.3,62.4,74.6,148.7,158.6,158.3,167.5,40.7,201.9,67.3,107.2,175.3,168.4,169.8,286.9,183.9,107.2,112.3,255.8,41.4,255.8,41.4,255.8,60.5,35.1,159.4,126.8,55.4,255.8,41.4,6.6,128.4,175.9,646.8,464.3,648.2,642.0,618.0,666.4,1054.3,677.6,694.7,696.4,885.7,648.2,712.2,653.8,705.5,619.2,722.1,724.6,575.3,673.4,713.2,265.4,740.7,694.7,731.2,597.3,712.2,704.2,771.2,687.7,712.2,712.2,652.7,649.4,709.1,702.6,730.7,694.7,732.1,708.8,726.6,648.2,724.1,716.6,694.7,593.4,741.2,704.2,581.3,930.5,785.6,0.0,61.9,0.0,95.9,53.1,86.5,15.8,258.3,169.2,74.6,135.4,84.3,144.7,146.6,104.7,97.3,62.4,74.6,148.7,158.6,158.3,167.5,40.7,201.9,67.3,107.2,175.3,168.4,169.8,286.9,183.9,107.2,112.3,255.8,41.4,255.8,41.4,255.8,60.5,35.1,159.4,126.8,55.4,255.8,41.4,6.6,128.4,175.9,646.8,464.3,648.2,642.0,618.0,666.4,1054.3,677.6,694.7,696.4,885.7,648.2,712.2,653.8,705.5,619.2,722.1,724.6,575.3,673.4,713.2,265.4,740.7,694.7,731.2,597.3,712.2,704.2,771.2,687.7,712.2,712.2,652.7,649.4,709.1,702.6,730.7,694.7,732.1,708.8,726.6,648.2,724.1,716.6,694.7,593.4,741.2,704.2,581.3,930.5,785.6,760.2,61.9,0.0,95.9,53.1,86.5,15.8,258.3,169.2,74.6,135.4,84.3,144.7,146.6,104.7
2,143.9,76.1,0.0,76.1,148.8,106.0,49.9,91.9,312.8,182.5,38.0,73.5,137.2,197.4,199.5,157.6,173.4,138.5,38.0,201.6,213.1,211.2,137.9,95.2,256.4,123.4,137.1,145.7,244.5,222.7,341.4,238.4,137.1,50.4,220.5,117.5,220.5,117.5,220.5,41.7,111.2,213.9,64.9,131.5,220.5,117.5,82.7,181.3,230.4,693.0,402.4,634.7,628.5,604.5,652.9,1040.8,664.1,681.2,682.9,872.2,634.7,698.7,640.3,692.0,605.7,708.6,711.1,561.8,659.9,699.7,318.3,727.2,681.2,717.7,583.8,698.7,690.7,757.7,674.2,698.7,698.7,639.2,635.9,695.6,689.1,717.2,681.2,718.6,695.3,713.1,634.7,710.6,703.1,681.2,579.9,727.7,690.7,567.8,868.6,724.7,76.1,0.0,76.1,148.8,106.0,49.9,91.9,312.8,182.5,38.0,73.5,137.2,197.4,199.5,157.6,173.4,138.5,38.0,201.6,213.1,211.2,137.9,95.2,256.4,123.4,137.1,145.7,244.5,222.7,341.4,238.4,137.1,50.4,220.5,117.5,220.5,117.5,220.5,41.7,111.2,213.9,64.9,131.5,220.5,117.5,82.7,181.3,230.4,693.0,402.4,634.7,628.5,604.5,652.9,1040.8,664.1,681.2,682.9,872.2,634.7,698.7,640.3,692.0,605.7,708.6,711.1,561.8,659.9,699.7,318.3,727.2,681.2,717.7,583.8,698.7,690.7,757.7,674.2,698.7,698.7,639.2,635.9,695.6,689.1,717.2,681.2,718.6,695.3,713.1,634.7,710.6,703.1,681.2,579.9,727.7,690.7,567.8,868.6,724.7,699.3,0.0,76.1,148.8,106.0,49.9,91.9,312.8,182.5,38.0,73.5,137.2,197.4,199.5,157.6
3,169.5,0.0,61.9,0.0,95.9,53.1,86.5,15.8,258.3,169.2,74.6,135.4,84.3,144.7,146.6,104.7,97.3,62.4,74.6,148.7,158.6,158.3,167.5,40.7,201.9,67.3,107.2,175.3,168.4,169.8,286.9,183.9,107.2,112.3,255.8,41.4,255.8,41.4,255.8,60.5,35.1,159.4,126.8,55.4,255.8,41.4,6.6,128.4,175.9,646.8,464.3,648.2,642.0,618.0,666.4,1054.3,677.6,694.7,696.4,885.7,648.2,712.2,653.8,705.5,619.2,722.1,724.6,575.3,673.4,713.2,265.4,740.7,694.7,731.2,597.3,712.2,704.2,771.2,687.7,712.2,712.2,652.7,649.4,709.1,702.6,730.7,694.7,732.1,708.8,726.6,648.2,724.1,716.6,694.7,593.4,741.2,704.2,581.3,930.5,785.6,0.0,61.9,0.0,95.9,53.1,86.5,15.8,258.3,169.2,74.6,135.4,84.3,144.7,146.6,104.7,97.3,62.4,74.6,148.7,158.6,158.3,167.5,40.7,201.9,67.3,107.2,175.3,168.4,169.8,286.9,183.9,107.2,112.3,255.8,41.4,255.8,41.4,255.8,60.5,35.1,159.4,126.8,55.4,255.8,41.4,6.6,128.4,175.9,646.8,464.3,648.2,642.0,618.0,666.4,1054.3,677.6,694.7,696.4,885.7,648.2,712.2,653.8,705.5,619.2,722.1,724.6,575.3,673.4,713.2,265.4,740.7,694.7,731.2,597.3,712.2,704.2,771.2,687.7,712.2,712.2,652.7,649.4,709.1,702.6,730.7,694.7,732.1,708.8,726.6,648.2,724.1,716.6,694.7,593.4,741.2,704.2,581.3,930.5,785.6,760.2,61.9,0.0,95.9,53.1,86.5,15.8,258.3,169.2,74.6,135.4,84.3,144.7,146.6,104.7
4,284.8,224.8,184.0,224.8,0.0,233.5,198.6,240.6,395.1,132.8,186.7,246.3,149.1,54.3,66.3,24.4,322.1,287.2,186.7,206.9,361.8,78.0,135.3,243.9,396.4,251.2,171.5,93.6,373.1,89.5,490.1,387.1,171.5,194.5,175.4,266.2,175.4,266.2,175.4,182.6,259.9,362.6,242.0,239.0,175.4,266.2,231.4,115.3,379.1,566.5,391.6,567.9,561.7,537.7,586.1,974.0,597.3,614.4,616.1,805.4,567.9,631.9,573.5,625.2,538.9,641.8,644.3,495.0,593.1,632.9,185.1,660.4,614.4,650.9,517.0,631.9,623.9,690.9,607.4,631.9,631.9,572.4,569.1,628.8,622.3,650.4,614.4,651.8,628.5,646.3,567.9,643.8,636.3,614.4,513.1,660.9,623.9,501.0,849.0,684.1,224.8,184.0,224.8,0.0,233.5,198.6,240.6,395.1,132.8,186.7,246.3,149.1,54.3,66.3,24.4,322.1,287.2,186.7,206.9,361.8,78.0,135.3,243.9,396.4,251.2,171.5,93.6,373.1,89.5,490.1,387.1,171.5,194.5,175.4,266.2,175.4,266.2,175.4,182.6,259.9,362.6,242.0,239.0,175.4,266.2,231.4,115.3,379.1,566.5,391.6,567.9,561.7,537.7,586.1,974.0,597.3,614.4,616.1,805.4,567.9,631.9,573.5,625.2,538.9,641.8,644.3,495.0,593.1,632.9,185.1,660.4,614.4,650.9,517.0,631.9,623.9,690.9,607.4,631.9,631.9,572.4,569.1,628.8,622.3,650.4,614.4,651.8,628.5,646.3,567.9,643.8,636.3,614.4,513.1,660.9,623.9,501.0,849.0,684.1,658.7,184.0,224.8,0.0,233.5,198.6,240.6,395.1,132.8,186.7,246.3,149.1,54.3,66.3,24.4
5,242.6,102.9,112.0,102.9,42.8,0.0,107.7,118.7,339.6,116.1,144.5,185.5,31.2,91.6,93.5,51.6,200.2,165.3,144.5,95.6,239.9,105.2,133.7,122.0,283.2,119.0,39.3,120.8,271.3,116.7,368.2,265.2,39.3,152.3,202.6,144.3,202.6,144.3,202.6,110.6,138.0,240.7,176.9,100.2,202.6,144.3,109.5,75.3,257.2,593.7,418.8,595.1,588.9,564.9,613.3,1001.2,624.5,641.6,643.3,832.6,595.1,659.1,600.7,652.4,566.1,669.0,671.5,522.2,620.3,660.1,212.3,687.6,641.6,678.1,544.2,659.1,651.1,718.1,634.6,659.1,659.1,599.6,596.3,656.0,649.5,677.6,641.6,679.0,655.7,673.5,595.1,671.0,663.5,641.6,540.3,688.1,651.1,528.2,876.2,711.3,102.9,112.0,102.9,42.8,0.0,107.7,118.7,339.6,116.1,144.5,185.5,31.2,91.6,93.5,51.6,200.2,165.3,144.5,95.6,239.9,105.2,133.7,122.0,283.2,119.0,39.3,120.8,271.3,116.7,368.2,265.2,39.3,152.3,202.6,144.3,202.6,144.3,202.6,110.6,138.0,240.7,176.9,100.2,202.6,144.3,109.5,75.3,257.2,593.7,418.8,595.1,588.9,564.9,613.3,1001.2,624.5,641.6,643.3,832.6,595.1,659.1,600.7,652.4,566.1,669.0,671.5,522.2,620.3,660.1,212.3,687.6,641.6,678.1,544.2,659.1,651.1,718.1,634.6,659.1,659.1,599.6,596.3,656.0,649.5,677.6,641.6,679.0,655.7,673.5,595.1,671.0,663.5,641.6,540.3,688.1,651.1,528.2,876.2,711.3,685.9,112.0,102.9,42.8,0.0,107.7,118.7,339.6,116.1,144.5,185.5,31.2,91.6,93.5,51.6
6,151.6,43.7,44.0,43.7,112.7,69.9,0.0,59.5,280.4,186.0,56.7,117.5,101.1,161.5,163.4,121.5,141.0,106.1,56.7,165.5,180.7,175.1,149.6,62.8,224.0,91.0,104.7,157.4,212.1,186.6,309.0,206.0,104.7,94.4,237.9,85.1,237.9,85.1,237.9,42.6,78.8,181.5,108.9,99.1,237.9,85.1,50.3,145.2,198.0,663.6,446.4,665.0,658.8,634.8,683.2,1071.1,694.4,711.5,713.2,902.5,665.0,729.0,670.6,722.3,636.0,738.9,741.4,592.1,690.2,730.0,282.2,757.5,711.5,748.0,614.1,729.0,721.0,788.0,704.5,729.0,729.0,669.5,666.2,725.9,719.4,747.5,711.5,748.9,725.6,743.4,665.0,740.9,733.4,711.5,610.2,758.0,721.0,598.1,912.6,767.7,43.7,44.0,43.7,112.7,69.9,0.0,59.5,280.4,186.0,56.7,117.5,101.1,161.5,163.4,121.5,141.0,106.1,56.7,165.5,180.7,175.1,149.6,62.8,224.0,91.0,104.7,157.4,212.1,186.6,309.0,206.0,104.7,94.4,237.9,85.1,237.9,85.1,237.9,42.6,78.8,181.5,108.9,99.1,237.9,85.1,50.3,145.2,198.0,663.6,446.4,665.0,658.8,634.8,683.2,1071.1,694.4,711.5,713.2,902.5,665.0,729.0,670.6,722.3,636.0,738.9,741.4,592.1,690.2,730.0,282.2,757.5,711.5,748.0,614.1,729.0,721.0,788.0,704.5,729.0,729.0,669.5,666.2,725.9,719.4,747.5,711.5,748.9,725.6,743.4,665.0,740.9,733.4,711.5,610.2,758.0,721.0,598.1,912.6,767.7,742.3,44.0,43.7,112.7,69.9,0.0,59.5,280.4,186.0,56.7,117.5,101.1,161.5,163.4,121.5
7,185.3,15.8,77.7,15.8,111.7,68.9,102.3,0.0,268.3,185.0,90.4,151.2,100.1,160.5,162.4,120.5,81.5,46.6,90.4,165.1,168.6,174.1,183.3,56.5,211.9,51.5,123.0,191.1,152.6,185.6,296.9,193.9,123.0,128.1,271.6,25.6,271.6,25.6,271.6,76.3,19.3,169.4,142.6,39.6,271.6,25.6,9.2,144.2,185.9,662.6,480.1,664.0,657.8,633.8,682.2,1070.1,693.4,710.5,712.2,901.5,664.0,728.0,669.6,721.3,635.0,737.9,740.4,591.1,689.2,729.0,281.2,756.5,710.5,747.0,613.1,728.0,720.0,787.0,703.5,728.0,728.0,668.5,665.2,724.9,718.4,746.5,710.5,747.9,724.6,742.4,664.0,739.9,732.4,710.5,609.2,757.0,720.0,597.1,946.3,801.4,15.8,77.7,15.8,111.7,68.9,102.3,0.0,268.3,185.0,90.4,151.2,100.1,160.5,162.4,120.5,81.5,46.6,90.4,165.1,168.6,174.1,183.3,56.5,211.9,51.5,123.0,191.1,152.6,185.6,296.9,193.9,123.0,128.1,271.6,25.6,271.6,25.6,271.6,76.3,19.3,169.4,142.6,39.6,271.6,25.6,9.2,144.2,185.9,662.6,480.1,664.0,657.8,633.8,682.2,1070.1,693.4,710.5,712.2,901.5,664.0,728.0,669.6,721.3,635.0,737.9,740.4,591.1,689.2,729.0,281.2,756.5,710.5,747.0,613.1,728.0,720.0,787.0,703.5,728.0,728.0,668.5,665.2,724.9,718.4,746.5,710.5,747.9,724.6,742.4,664.0,739.9,732.4,710.5,609.2,757.0,720.0,597.1,946.3,801.4,776.0,77.7,15.8,111.7,68.9,102.3,0.0,268.3,185.0,90.4,151.2,100.1,160.5,162.4,120.5
8,392.7,245.8,290.9,245.8,332.0,289.2,315.5,261.6,0.0,359.8,303.6,364.4,320.4,380.8,335.4,340.8,216.2,235.8,303.6,384.8,108.0,366.3,396.5,240.5,157.4,307.5,328.5,387.8,171.9,358.6,258.6,155.6,328.5,341.3,466.8,256.8,466.8,256.8,466.8,289.5,263.1,114.9,355.8,295.6,466.8,256.8,252.4,364.5,131.4,726.3,683.0,837.0,830.8,806.8,855.2,1243.1,866.4,883.5,885.2,1074.5,837.0,901.0,842.6,894.3,808.0,910.9,913.4,764.1,862.2,902.0,454.2,929.5,883.5,920.0,786.1,901.0,893.0,960.0,876.5,901.0,901.0,841.5,838.2,897.9,891.4,919.5,883.5,920.9,897.6,915.4,837.0,912.9,905.4,883.5,782.2,930.0,893.0,770.1,1127.6,975.5,245.8,290.9,245.8,332.0,289.2,315.5,261.6,0.0,359.8,303.6,364.4,320.4,380.8,335.4,340.8,216.2,235.8,303.6,384.8,108.0,366.3,396.5,240.5,157.4,307.5,328.5,387.8,171.9,358.6,258.6,155.6,328.5,341.3,466.8,256.8,466.8,256.8,466.8,289.5,263.1,114.9,355.8,295.6,466.8,256.8,252.4,364.5,131.4,726.3,683.0,837.0,830.8,806.8,855.2,1243.1,866.4,883.5,885.2,1074.5,837.0,901.0,842.6,894.3,808.0,910.9,913.4,764.1,862.2,902.0,454.2,929.5,883.5,920.0,786.1,901.0,893.0,960.0,876.5,901.0,901.0,841.5,838.2,897.9,891.4,919.5,883.5,920.9,897.6,915.4,837.0,912.9,905.4,883.5,782.2,930.0,893.0,770.1,1127.6,975.5,950.1,290.9,245.8,332.0,289.2,315.5,261.6,0.0,359.8,303.6,364.4,320.4,380.8,335.4,340.8
9,303.4,243.4,202.6,243.4,129.5,252.1,217.2,259.2,352.0,0.0,205.3,256.9,164.7,178.3,180.2,138.3,273.6,252.0,205.3,134.0,357.7,186.1,145.9,262.5,382.4,256.3,187.1,160.9,317.0,203.4,478.6,375.6,187.1,213.1,234.2,237.0,234.2,237.0,234.2,201.2,243.3,358.5,252.6,237.6,234.2,237.0,250.0,130.9,375.0,680.4,478.7,681.8,675.6,651.6,700.0,1087.9,711.2,728.3,730.0,919.3,681.8,745.8,687.4,739.1,652.8,755.7,758.2,608.9,707.0,746.8,299.0,774.3,728.3,764.8,630.9,745.8,737.8,804.8,721.3,745.8,745.8,686.3,683.0,742.7,736.2,764.3,728.3,765.7,742.4,760.2,681.8,757.7,750.2,728.3,627.0,774.8,737.8,614.9,928.9,771.2,243.4,202.6,243.4,129.5,252.1,217.2,259.2,352.0,0.0,205.3,256.9,164.7,178.3,180.2,138.3,273.6,252.0,205.3,134.0,357.7,186.1,145.9,262.5,382.4,256.3,187.1,160.9,317.0,203.4,478.6,375.6,187.1,213.1,234.2,237.0,234.2,237.0,234.2,201.2,243.3,358.5,252.6,237.6,234.2,237.0,250.0,130.9,375.0,680.4,478.7,681.8,675.6,651.6,700.0,1087.9,711.2,728.3,730.0,919.3,681.8,745.8,687.4,739.1,652.8,755.7,758.2,608.9,707.0,746.8,299.0,774.3,728.3,764.8,630.9,745.8,737.8,804.8,721.3,745.8,745.8,686.3,683.0,742.7,736.2,764.3,728.3,765.7,742.4,760.2,681.8,757.7,750.2,728.3,627.0,774.8,737.8,614.9,928.9,771.2,745.8,202.6,243.4,129.5,252.1,217.2,259.2,352.0,0.0,205.3,256.9,164.7,178.3,180.2,138.3
